,activation_4_loss,loss,activation_5_loss,val_activation_4_loss,val_loss,val_activation_5_loss
0,[1.1384779214859009],[1.5056203603744507],[0.36714258790016174],[1.2670505046844482],[4.218815803527832],[2.951765775680542]
1,[0.8011261820793152],[1.129309058189392],[0.3281829059123993],[1.2930066585540771],[4.340182304382324],[3.0471763610839844]
2,[0.7615353465080261],[0.9063358902931213],[0.14480063319206238],[1.3752301931381226],[4.560922145843506],[3.185692071914673]
3,[0.8082682490348816],[1.0027996301651],[0.19453157484531403],[1.48140287399292],[4.814575672149658],[3.333172082901001]
4,[0.590232253074646],[0.7652185559272766],[0.1749863177537918],[1.5802990198135376],[5.040862560272217],[3.4605634212493896]
5,[0.3075070083141327],[0.40419283509254456],[0.09668583422899246],[1.663889765739441],[5.2271223068237305],[3.563232183456421]
6,[0.5330274701118469],[0.6167404055595398],[0.08371291309595108],[1.7391998767852783],[5.393368721008301],[3.6541695594787598]
7,[0.31231001019477844],[0.38671597838401794],[0.07440594583749771],[1.8068463802337646],[5.540132999420166],[3.733285903930664]
8,[0.6130495071411133],[0.7007818222045898],[0.08773228526115417],[1.8695847988128662],[5.674801826477051],[3.8052175045013428]
9,[0.17454273998737335],[0.23925082385540009],[0.06470806151628494],[1.9241907596588135],[5.792616367340088],[3.86842679977417]
10,[0.1470305472612381],[0.1719008833169937],[0.024870341643691063],[1.9738413095474243],[5.899964809417725],[3.9261233806610107]
11,[0.41705116629600525],[0.48220348358154297],[0.06515234708786011],[2.0198638439178467],[6.000381946563721],[3.980517864227295]
12,[0.09120136499404907],[0.11937985569238663],[0.028178496286273003],[2.063257932662964],[6.095040321350098],[4.031782150268555]
13,[0.22896695137023926],[0.2517381012439728],[0.022771179676055908],[2.0995934009552],[6.175756931304932],[4.0761637687683105]
14,[0.3392467498779297],[0.4020173251628876],[0.06277058273553848],[2.1293413639068604],[6.243526458740234],[4.114184856414795]
15,[0.125474214553833],[0.1558239907026291],[0.030349770560860634],[2.1548049449920654],[6.301791667938232],[4.146986484527588]
16,[0.192158505320549],[0.22309403121471405],[0.03093550354242325],[2.177915096282959],[6.356364727020264],[4.178449630737305]
17,[0.40828418731689453],[0.43140658736228943],[0.023122375831007957],[2.202045440673828],[6.414209365844727],[4.212163925170898]
18,[0.02730933018028736],[0.045436907559633255],[0.01812758296728134],[2.2263741493225098],[6.473602294921875],[4.247228622436523]
19,[0.05937178060412407],[0.07295729964971542],[0.013585525564849377],[2.24778413772583],[6.527385711669922],[4.27960205078125]
20,[0.05397291108965874],[0.06554127484560013],[0.01156836748123169],[2.2656986713409424],[6.575453758239746],[4.309755325317383]
21,[0.09127932786941528],[0.1258777529001236],[0.034598421305418015],[2.2844555377960205],[6.626029014587402],[4.3415727615356445]
22,[0.034194041043519974],[0.10443206876516342],[0.07023802399635315],[2.2977490425109863],[6.663851261138916],[4.366103172302246]
23,[0.05209146812558174],[0.05734087899327278],[0.005249409005045891],[2.3062424659729004],[6.688712120056152],[4.382471084594727]
24,[0.03257159888744354],[0.042006611824035645],[0.009435008279979229],[2.313046455383301],[6.710312366485596],[4.397266387939453]
