,loss,activation_5_loss,activation_4_loss,val_loss,val_activation_5_loss,val_activation_4_loss
0,[1.5807539224624634],[0.4539656937122345],[1.1267882585525513],[4.192784786224365],[2.9085614681243896],[1.2842230796813965]
1,[2.0100467205047607],[0.7775294780731201],[1.2325172424316406],[4.192260265350342],[2.91884183883667],[1.2734179496765137]
2,[1.5572811365127563],[0.3509177267551422],[1.2063634395599365],[4.204950332641602],[2.938427448272705],[1.2665224075317383]
3,[2.8149197101593018],[0.698475182056427],[2.1164445877075195],[4.2560224533081055],[2.980139970779419],[1.2758822441101074]
4,[1.634905219078064],[0.4331803619861603],[1.2017247676849365],[4.345694541931152],[3.040330410003662],[1.3053632974624634]
5,[1.2340278625488281],[0.20777976512908936],[1.0262480974197388],[4.455328464508057],[3.1089117527008057],[1.346416711807251]
6,[0.8699989914894104],[0.2579832673072815],[0.6120157241821289],[4.594205379486084],[3.191800355911255],[1.402405023574829]
7,[1.2017236948013306],[0.2916879951953888],[0.9100356101989746],[4.7761335372924805],[3.296353816986084],[1.4797803163528442]
8,[0.9971423149108887],[0.26111137866973877],[0.7360308766365051],[5.006173133850098],[3.4278934001922607],[1.5782798528671265]
9,[0.5734462738037109],[0.12018332630395889],[0.45326289534568787],[5.276225566864014],[3.581450939178467],[1.694775104522705]
10,[0.6270908117294312],[0.2737812101840973],[0.35330963134765625],[5.5561723709106445],[3.742669105529785],[1.8135035037994385]
11,[0.47510209679603577],[0.12654751539230347],[0.3485545814037323],[5.861413478851318],[3.9184114933013916],[1.9430022239685059]
12,[1.1934328079223633],[0.4329625368118286],[0.7604702115058899],[6.159767150878906],[4.089874744415283],[2.069892644882202]
13,[0.48615503311157227],[0.13983571529388428],[0.3463193476200104],[6.441601753234863],[4.251462936401367],[2.190138816833496]
14,[0.9081835746765137],[0.23655371367931366],[0.6716299057006836],[6.69405460357666],[4.396440029144287],[2.297614097595215]
15,[0.2888680696487427],[0.06039755418896675],[0.22847051918506622],[6.9441986083984375],[4.540095806121826],[2.4041028022766113]
16,[0.28006961941719055],[0.09020956605672836],[0.18986006081104279],[7.2007880210876465],[4.688034534454346],[2.5127532482147217]
17,[0.3020206689834595],[0.10114703327417374],[0.20087359845638275],[7.446086883544922],[4.832043170928955],[2.614044427871704]
18,[0.5054640173912048],[0.08673904091119766],[0.41872501373291016],[7.690347671508789],[4.9735941886901855],[2.716754198074341]
19,[0.5470778346061707],[0.12403794378042221],[0.42303988337516785],[7.924780368804932],[5.1076579093933105],[2.817122220993042]
20,[0.6295134425163269],[0.046701788902282715],[0.5828116536140442],[8.13170337677002],[5.229447841644287],[2.902254819869995]
21,[0.18077416718006134],[0.07854969054460526],[0.10222446918487549],[8.330949783325195],[5.347877025604248],[2.9830732345581055]
22,[0.3345208466053009],[0.04259468987584114],[0.29192617535591125],[8.512687683105469],[5.4555277824401855],[3.057159185409546]
23,[0.2211117148399353],[0.028231775388121605],[0.19287993013858795],[8.68738842010498],[5.559199333190918],[3.128187656402588]
24,[0.5027379989624023],[0.07871896028518677],[0.42401906847953796],[8.872722625732422],[5.669952869415283],[3.2027692794799805]
