,loss,activation_4_loss,activation_5_loss,val_loss,val_activation_4_loss,val_activation_5_loss
0,[1.7036558389663696],[1.3145561218261719],[0.38909968733787537],[4.168668746948242],[1.2591768503189087],[2.909491777420044]
1,[1.4219239950180054],[1.0459948778152466],[0.37592896819114685],[4.2782511711120605],[1.2959636449813843],[2.9822871685028076]
2,[1.3876838684082031],[1.0565605163574219],[0.3311232626438141],[4.486283779144287],[1.383802890777588],[3.1024811267852783]
3,[1.6329641342163086],[1.3064322471618652],[0.3265317678451538],[4.718868732452393],[1.4885344505310059],[3.2303342819213867]
4,[1.3398475646972656],[1.0186595916748047],[0.3211880028247833],[4.973269939422607],[1.6086825132369995],[3.3645875453948975]
5,[0.9236268997192383],[0.712979257106781],[0.21064770221710205],[5.232441425323486],[1.7295349836349487],[3.5029067993164062]
6,[0.6614093780517578],[0.5241429209709167],[0.13726647198200226],[5.4770331382751465],[1.8446077108383179],[3.632425546646118]
7,[1.2572723627090454],[1.0508164167404175],[0.2064559906721115],[5.7155327796936035],[1.959449052810669],[3.7560842037200928]
8,[0.6491544842720032],[0.5677240490913391],[0.08143047243356705],[5.951950550079346],[2.0718979835510254],[3.8800525665283203]
9,[0.5844132900238037],[0.44329965114593506],[0.14111362397670746],[6.182509422302246],[2.178499698638916],[4.004009246826172]
10,[0.37811383605003357],[0.270754337310791],[0.10735946893692017],[6.403125762939453],[2.2798633575439453],[4.12326192855835]
11,[0.44463470578193665],[0.40851113200187683],[0.036123570054769516],[6.624985218048096],[2.382741689682007],[4.242244243621826]
12,[0.5750439167022705],[0.4393310844898224],[0.13571281731128693],[6.823061466217041],[2.4761857986450195],[4.346875190734863]
13,[0.569037675857544],[0.4394991397857666],[0.12953855097293854],[7.013291358947754],[2.5665199756622314],[4.446770191192627]
14,[0.9125550389289856],[0.7383532524108887],[0.17420174181461334],[7.206888675689697],[2.6601626873016357],[4.546726226806641]
15,[0.18488864600658417],[0.15278325974941254],[0.03210537135601044],[7.39028263092041],[2.7518858909606934],[4.638396263122559]
16,[0.28293517231941223],[0.2486417442560196],[0.034293439239263535],[7.561120510101318],[2.8393189907073975],[4.721800804138184]
17,[0.25650933384895325],[0.1930040568113327],[0.06350529193878174],[7.71776819229126],[2.919118642807007],[4.798649787902832]
