,activation_5_loss,loss,activation_4_loss,val_activation_5_loss,val_loss,val_activation_4_loss
0,[0.522150456905365],[1.9706439971923828],[1.448493480682373],[2.896432399749756],[4.1714701652526855],[1.2750377655029297]
1,[0.5877609252929688],[1.5902336835861206],[1.0024727582931519],[2.961503267288208],[4.2543253898620605],[1.292822003364563]
2,[0.16356860101222992],[0.9454521536827087],[0.7818835377693176],[3.0567991733551025],[4.409448623657227],[1.3526493310928345]
3,[0.24061131477355957],[1.407173752784729],[1.166562557220459],[3.170346260070801],[4.610126495361328],[1.4397798776626587]
4,[0.2061944603919983],[0.8032814860343933],[0.597087025642395],[3.275327205657959],[4.804033279418945],[1.5287061929702759]
5,[0.17743872106075287],[1.0530121326446533],[0.8755733370780945],[3.36136794090271],[4.9721293449401855],[1.6107617616653442]
6,[0.08943668752908707],[0.6283195614814758],[0.5388829112052917],[3.4335196018218994],[5.115213394165039],[1.6816937923431396]
7,[0.124805748462677],[1.0758298635482788],[0.9510239958763123],[3.49626088142395],[5.236245155334473],[1.739984393119812]
8,[0.05981583893299103],[0.7439131736755371],[0.6840973496437073],[3.5464425086975098],[5.338322162628174],[1.7918800115585327]
9,[0.11573360115289688],[0.6160229444503784],[0.5002893805503845],[3.5882468223571777],[5.423009395599365],[1.8347619771957397]
10,[0.0980428084731102],[0.31710144877433777],[0.21905867755413055],[3.6206681728363037],[5.495506286621094],[1.8748387098312378]
11,[0.08013108372688293],[0.4003373086452484],[0.3202062249183655],[3.651789426803589],[5.565253734588623],[1.9134644269943237]
12,[0.06803982704877853],[0.39777863025665283],[0.3297387659549713],[3.680833101272583],[5.6297287940979],[1.9488945007324219]
13,[0.14951564371585846],[0.5118221640586853],[0.36230647563934326],[3.7053327560424805],[5.682074546813965],[1.9767416715621948]
14,[0.08086555451154709],[0.5013289451599121],[0.4204634130001068],[3.7335731983184814],[5.736623287200928],[2.003049612045288]
15,[0.14787517488002777],[0.6339845061302185],[0.48610934615135193],[3.7544734477996826],[5.779073238372803],[2.02459979057312]
16,[0.1135411486029625],[0.5481863617897034],[0.43464526534080505],[3.7801411151885986],[5.82932710647583],[2.0491864681243896]
17,[0.06883404403924942],[0.28279560804367065],[0.21396155655384064],[3.8017914295196533],[5.87162446975708],[2.069833517074585]
18,[0.05831322446465492],[0.18718908727169037],[0.12887585163116455],[3.8204989433288574],[5.904046535491943],[2.083547353744507]
19,[0.039593685418367386],[0.5266342759132385],[0.48704054951667786],[3.836805582046509],[5.938904762268066],[2.1020994186401367]
20,[0.08363842219114304],[0.31770095229148865],[0.23406250774860382],[3.8469841480255127],[5.960561752319336],[2.1135776042938232]
