,activation_4_loss,activation_5_loss,loss,val_activation_4_loss,val_activation_5_loss,val_loss
0,[1.4304547309875488],[1.9798498153686523],[3.4103047847747803],[1.271959900856018],[2.8791520595550537],[4.151112079620361]
1,[0.934884250164032],[1.1197112798690796],[2.054595708847046],[1.2910324335098267],[2.901242256164551],[4.192274570465088]
2,[1.0955606698989868],[1.4277963638305664],[2.5233571529388428],[1.3512935638427734],[2.9644083976745605],[4.315701961517334]
3,[0.7741181254386902],[1.513597011566162],[2.287715196609497],[1.4313743114471436],[3.0360047817230225],[4.467378616333008]
4,[1.429650902748108],[0.890831470489502],[2.3204822540283203],[1.5161961317062378],[3.1131725311279297],[4.629368782043457]
5,[0.754963219165802],[0.42960014939308167],[1.184563398361206],[1.598009467124939],[3.188157081604004],[4.786167144775391]
6,[0.931495189666748],[0.3665543794631958],[1.2980495691299438],[1.675665020942688],[3.2617552280426025],[4.9374213218688965]
7,[0.5415580868721008],[0.3704441785812378],[0.9120022654533386],[1.7471965551376343],[3.335385322570801],[5.082581996917725]
8,[1.1802325248718262],[1.177565097808838],[2.357797622680664],[1.8088279962539673],[3.400576591491699],[5.209404468536377]
9,[0.609211266040802],[0.8611662983894348],[1.4703775644302368],[1.8688079118728638],[3.464749813079834],[5.333557605743408]
10,[0.8846058249473572],[0.5991883873939514],[1.4837942123413086],[1.9381824731826782],[3.5382473468780518],[5.476429462432861]
11,[0.8550296425819397],[0.36532020568847656],[1.2203497886657715],[1.990078091621399],[3.5952742099761963],[5.585352420806885]
12,[0.5999186038970947],[0.29703280329704285],[0.8969513773918152],[2.0319151878356934],[3.6454179286956787],[5.677332878112793]
13,[1.3308707475662231],[0.5940224528312683],[1.9248930215835571],[2.0696094036102295],[3.688795804977417],[5.758404731750488]
14,[0.5516740679740906],[0.2167246788740158],[0.7683987617492676],[2.1010279655456543],[3.725661277770996],[5.826689720153809]
15,[0.6982409358024597],[0.3175116181373596],[1.0157524347305298],[2.1285252571105957],[3.76019287109375],[5.888718128204346]
16,[0.2592930793762207],[0.04893516004085541],[0.3082282543182373],[2.152243137359619],[3.791987180709839],[5.944230079650879]
17,[0.22802932560443878],[0.05260193347930908],[0.28063127398490906],[2.181614875793457],[3.832498550415039],[6.014113903045654]
18,[0.8660199046134949],[0.9113132357597351],[1.77733314037323],[2.205744981765747],[3.865924596786499],[6.071669101715088]
19,[0.4405471086502075],[0.2804475724697113],[0.7209946513175964],[2.2277417182922363],[3.895017623901367],[6.1227593421936035]
20,[0.30534613132476807],[0.19348593056201935],[0.49883201718330383],[2.245030403137207],[3.9187190532684326],[6.1637492179870605]
21,[0.40881964564323425],[0.6498751640319824],[1.058694839477539],[2.2569408416748047],[3.9370291233062744],[6.193970680236816]
22,[1.0272926092147827],[0.7791990637779236],[1.806491494178772],[2.264554500579834],[3.9512877464294434],[6.215841770172119]
23,[0.3140347898006439],[0.8420212864875793],[1.1560560464859009],[2.2683024406433105],[3.9540395736694336],[6.222342491149902]
24,[0.8667038083076477],[0.2649697959423065],[1.1316736936569214],[2.2745132446289062],[3.961942434310913],[6.236455917358398]
25,[0.363747239112854],[0.27428141236305237],[0.6380285620689392],[2.2773561477661133],[3.965017557144165],[6.242373466491699]
26,[0.2113628387451172],[0.08508721739053726],[0.29645004868507385],[2.2770066261291504],[3.960055112838745],[6.237062454223633]
27,[0.32666972279548645],[0.4217616021633148],[0.748431384563446],[2.2807974815368652],[3.9578299522399902],[6.2386274337768555]
28,[0.6206087470054626],[0.39549270272254944],[1.0161014795303345],[2.2980856895446777],[3.9676992893218994],[6.265785217285156]
29,[0.49845781922340393],[0.41065916419029236],[0.9091170430183411],[2.317941188812256],[3.982698678970337],[6.300639629364014]
30,[0.5392706394195557],[0.38432684540748596],[0.923597514629364],[2.350048780441284],[4.014235019683838],[6.364283561706543]
31,[0.23151230812072754],[0.09691458940505981],[0.32842686772346497],[2.381410837173462],[4.047236442565918],[6.428647518157959]
32,[0.8877580761909485],[0.16537487506866455],[1.0531330108642578],[2.4082438945770264],[4.077632904052734],[6.48587703704834]
33,[0.3465665876865387],[0.2559903562068939],[0.6025569438934326],[2.434364080429077],[4.1108808517456055],[6.5452446937561035]
34,[0.5029721260070801],[0.2121337205171585],[0.7151058316230774],[2.470585584640503],[4.156881332397461],[6.627467155456543]
35,[0.6243873238563538],[0.2893822491168976],[0.913769543170929],[2.5013201236724854],[4.195436477661133],[6.696755886077881]
36,[0.2456565648317337],[0.4195634424686432],[0.6652200222015381],[2.523483991622925],[4.225329875946045],[6.748813152313232]
37,[0.4002048969268799],[0.1740432232618332],[0.5742480754852295],[2.537961959838867],[4.246365070343018],[6.784326553344727]
38,[1.1310395002365112],[0.558208167552948],[1.689247727394104],[2.5615074634552],[4.277876853942871],[6.83938455581665]
39,[0.32624053955078125],[0.23140136897563934],[0.5576419234275818],[2.596811056137085],[4.320744514465332],[6.917555332183838]
40,[0.3339099586009979],[0.2471631020307541],[0.5810730457305908],[2.6214568614959717],[4.355725288391113],[6.977182865142822]
41,[0.6244093775749207],[0.2711987793445587],[0.895608127117157],[2.641155958175659],[4.388134002685547],[7.029290676116943]
42,[0.20253606140613556],[0.07826361805200577],[0.2807997167110443],[2.66752290725708],[4.428898811340332],[7.096421718597412]
43,[0.3111092150211334],[0.22679899632930756],[0.5379082560539246],[2.706531047821045],[4.477774143218994],[7.184305191040039]
44,[0.4479462206363678],[0.6111747622489929],[1.059121012687683],[2.7287888526916504],[4.510423183441162],[7.239213466644287]
45,[0.38685333728790283],[0.13859562575817108],[0.5254489779472351],[2.7514846324920654],[4.542573928833008],[7.294058322906494]
46,[0.26655980944633484],[0.24575166404247284],[0.5123114585876465],[2.773556709289551],[4.568955898284912],[7.342512130737305]
47,[0.20203548669815063],[0.11146853119134903],[0.31350401043891907],[2.7935078144073486],[4.5916876792907715],[7.385195255279541]
